theta_deg,hl_ratio,tl_ratio,E1_Es,E2_Es,nu12,nu21,rel_density
-23.143419493596966,0.8325457225652348,0.0551517463051647,0.002272009061003844,9.483292049105907e-05,-4.894693103994776,-0.2043029008670341,0.19327370220586693
-7.1976481703822515,0.9723177174162545,0.19053345690244938,0.5160969873305034,0.005999536032210473,-9.274848598463615,-0.1078184715776008,0.336958184629058
-13.015915900835168,1.853554880394713,0.09437250312840703,0.009914451897736695,0.001479760749098865,-2.5884429849328567,-0.3863326354186393,0.11461400653710009
-21.621237719467857,1.694699972425314,0.06409776697379382,0.001359634178892254,0.000434713820446127,-1.7685173018111404,-0.5654454151937891,0.09604133358588082
-65.40209691110243,1.9203384367006364,0.10767948443101848,0.0006217189253084182,0.01750380656526813,-0.18846503573438658,-5.306023985315511,0.5015177533311769
-44.99592472047244,1.4779435190496282,0.08966285836172593,0.0013226796385437806,0.0015713785112072606,-0.9174595572385355,-1.0899663010867786,0.28602136680678286
-28.771328506815905,1.8577794850504632,0.12651273640238453,0.005566142546455602,0.004138482703693383,-1.1597291941108072,-0.8622702654016781,0.20225587538424022
-24.142838306913717,1.2663157239054934,0.1264064936486447,0.012851282653723725,0.002278782865709597,-2.374771155073813,-0.4210932063341985,0.2638862558271757
-7.436770067434253,1.0325901061925369,0.08567009457022697,0.04120710719457861,0.0005824482523088812,-8.4111889761264,-0.11888925606573751,0.14505001479703172
-55.563098139638605,1.4605625148764978,0.12163356775555317,0.002352979416144574,0.006326971115250432,-0.6098333038570385,-1.6397923722355892,0.5853416064709873
-52.21552204738484,1.3192092401014452,0.07747919594968489,0.0008626353488866062,0.0010695239471040544,-0.8980869148877879,-1.1134779757090054,0.39681031637311703
-44.32213053305497,1.7702506625166976,0.10857592730971942,0.001750557066646353,0.0037456585391705925,-0.6836346150118607,-1.4627696989606802,0.2669899067172647
-62.98179882118369,1.0682638354596632,0.03503016477666708,0.00013869645823277332,8.134516367590936e-05,-1.305770391922979,-0.7658314250236002,0.6668528132445466
-29.763950398811723,1.732332848958339,0.17067989241297057,0.014171258234256015,0.009394116806867655,-1.2282201781714701,-0.8141862654371661,0.2968854529856049
-47.2136060845752,1.1635843908514183,0.05066067266796627,0.00038162038995207003,0.00017825827523150565,-1.4631570203516087,-0.6834536458429402,0.2745499409361624
-17.54913529566219,1.630250845168415,0.09391180858117688,0.006537084902453553,0.0012696697538126841,-2.26906363573244,-0.4407104253280257,0.13455167164348206
-56.57250189634692,1.8869753294876936,0.10240092923843352,0.0008069612080891071,0.00675950553292536,-0.34551655831778594,-2.8942172984956,0.34328132782181864
-17.58051489535992,1.2208398361983774,0.18760742038396347,0.07509535603077003,0.007003069360775011,-3.2746306802143894,-0.30537794873849106,0.3449406131410055
-19.64267318773986,0.8896973684394596,0.05767657461572415,0.0028889088498816468,0.00012713481711574463,-4.766884929034697,-0.2097806040815216,0.15984807100969145
-28.81283720187684,1.0500862593769515,0.11893045469965598,0.011169285084275386,0.0014207704039181626,-2.8038239241799263,-0.35665577691098554,0.36435109837755075
-65.00688481436687,1.9244045643511902,0.09078079872818154,0.00037796435133048614,0.01009811738814386,-0.19346624951055738,-5.168860214791264,0.41412747567770064
